"url", "name", "description"
"https://www.spacebandits.io/startups/eclipse-orbital", "Eclipse Orbital", "Affordable cube-sat launch service"
"https://www.spacebandits.io/startups/NewRocket", "NewRocket", "Eco-friendly rocket engines"
"https://www.spacebandits.io/startups/orbitsedge", "OrbitsEdge", "Computing and analytics in space"
"https://www.spacebandits.io/startups/helios", "Helios", "Producing resources from lunar soil"
"https://www.spacebandits.io/startups/stellar-amenities", "Stellar Amenities", "Designing functional and comfortable off-world spaces"
"https://www.spacebandits.io/startups/momentus", "Momentus", "In-space flights for satellites"
"https://www.spacebandits.io/startups/epic-aerospace", "Epic Aerospace", "Space transportation network"
"https://www.spacebandits.io/startups/may-marom", "May Marom", "Humidity extraction from extraterrestrial regolith"
"https://www.spacebandits.io/startups/leap-biosystems", "Leap Biosystems", "Space medicine technology"
"https://www.spacebandits.io/startups/pixxel", "Pixxel", "Nanosatellite constellation"
"https://www.spacebandits.io/startups/miles-space", "Miles Space", "Propulsion and space communications"
"https://www.spacebandits.io/startups/space-dynamix-marketing", "Space Dynamix Marketing", "Marketing for the space industry"
"https://www.spacebandits.io/startups/okapi-orbits", "OKAPI:Orbits", "Satellite collision avoidance software"
"https://www.spacebandits.io/startups/latitudo-40", "Latitudo 40", "From images to information"
"https://www.spacebandits.io/startups/black-arrow-space-technologies", "Black Arrow", "Horizon sea launch service"
"https://www.spacebandits.io/startups/leo-aerospace", "Leo Aerospace", "High altitude smallsat launcher"
"https://www.spacebandits.io/startups/astralytical", "Astralytical", "Space analysis and consulting"
"https://www.spacebandits.io/startups/flurosat", "FluroSat", "Crop monitoring and analytics"
"https://www.spacebandits.io/startups/phase-four", "Phase Four", "Compact electric propulsion for space"
"https://www.spacebandits.io/startups/stofiel-aerospace", "Stofiel Aerospace", "Smallsat balloon launch service"
"https://www.spacebandits.io/startups/hydrosat", "Hydrosat", "Plant health monitored by satellites"
"https://www.spacebandits.io/startups/redworks", "RedWorks", "In-situ additive construction"
"https://www.spacebandits.io/startups/space-impulse", "Space Impulse", "The Space Business Network"
"https://www.spacebandits.io/startups/spacept", "Spacept", "AI for Space Data Analytics"
"https://www.spacebandits.io/startups/first-resonance", "First Resonance", "Software for aerospace manufacturing"
"https://www.spacebandits.io/startups/australia-space-launch", "Australia Space Launch", "Helping launch down under"
"https://www.spacebandits.io/startups/audacy", "Audacy", "Anytime and seamless space connectivity"
"https://www.spacebandits.io/startups/shipinspace", "ShipInSpace", "Provide access to space"
"https://www.spacebandits.io/startups/reaction-engines", "Reaction Engines", "Air-breathing rocket engines"
"https://www.spacebandits.io/startups/gateway-galactic", "Gateway Galactic", "LEO orbital propellant depot"
"https://www.spacebandits.io/startups/earthcube", "Earthcube", "Monitoring solutions powered by automation"
"https://www.spacebandits.io/startups/spacepharma", "SpacePharma", "Microgravity experiments and research solutions"
"https://www.spacebandits.io/startups/sensar", "Sensar", "Tracking civil engineering risks using satellites"
"https://www.spacebandits.io/startups/enpulsion", "Enpulsion", "Advanced propulsion systems for small sats"
"https://www.spacebandits.io/startups/atomos-space", "Atomos Space", "In-space transportation service"
"https://www.spacebandits.io/startups/asgard-space", "Asgard Space", "High accuracy space surveillance and tracking"
"https://www.spacebandits.io/startups/picterra", "Picterra", "Artificial intelligence for Earth imaging"
"https://www.spacebandits.io/startups/southern-stars", "Southern Stars", "Cubesat services and tracking software"
"https://www.spacebandits.io/startups/astrocomm", "AstroComm", "Spacecraft and ground-based hardware"
"https://www.spacebandits.io/startups/abstract-assembly", "Abstract Assembly", "3D cubesat models powered by AI"
"https://www.spacebandits.io/startups/rogo-fire", "RoGo Fire", "Fighting wildlife fires with intelligence"
"https://www.spacebandits.io/startups/qeynet", "QEYNet", "Microsatellite quantum key network"
"https://www.spacebandits.io/startups/alen-space", "Alen Space", "Small satellite turnkey solutions"
"https://www.spacebandits.io/startups/timetag-space", "TimeTag.Space", "Time tagging for satellites"
"https://www.spacebandits.io/startups/gold-orbit", "Gold Orbit", "Shielding technology for modern spacecraft"
"https://www.spacebandits.io/startups/exodus-space-corp", "Exodus Space Corp", "Reusable horizontal space vehicles"
"https://www.spacebandits.io/startups/spacechain", "SpaceChain", "Blockchain-based satellite network"
"https://www.spacebandits.io/startups/exos-aerospace", "EXOS Aerospace", "Reusable suborbital space vehicles"
"https://www.spacebandits.io/startups/i-space-china", "i-Space", "Developing a commercial space shuttle"
"https://www.spacebandits.io/startups/onespace", "OneSpace", "Launch services for satellites and spacecraft"
"https://www.spacebandits.io/startups/maana-electric", "Maana Electric", "ISRU technology for solar panels"
"https://www.spacebandits.io/startups/spire", "Spire", "Space to cloud analytics"
"https://www.spacebandits.io/startups/astrobotic", "Astrobotic", "Space robotics hardware and missions"
"https://www.spacebandits.io/startups/atlas-space", "Atlas Space", "Satellite communications as a service"
"https://www.spacebandits.io/startups/bridgesat", "BridgeSat", "Laser communication terminals"
"https://www.spacebandits.io/startups/ghgsat", "GHGSat", "Monitoring greenhouse gases"
"https://www.spacebandits.io/startups/hawkeye-360", "Hawkeye 360", "Global intelligence network"
"https://www.spacebandits.io/startups/iceye", "Iceye", "Timely and reliable satellite imagery"
"https://www.spacebandits.io/startups/isotropic-systems", "Isotropic Systems", "High-bandwidth satellite terminals"
"https://www.spacebandits.io/startups/kepler-communications", "Kepler Communications", "High-bandwidth data and IoT"
"https://www.spacebandits.io/startups/nanoracks", "Nanoracks", "Payload deployment services"
"https://www.spacebandits.io/startups/speqtral", "Speqtral", "Quantum networks in space"
"https://www.spacebandits.io/startups/ursa-major-technologies", "Ursa Major Technologies", "Engines for small satellites"
"https://www.spacebandits.io/startups/world-view-enterprises", "World View Enterprises", "Stratospheric observation and launch services"
"https://www.spacebandits.io/startups/analytical-space", "Analytical Space", "High-speed data connection"
"https://www.spacebandits.io/startups/vector-launch", "Vector Launch", "Affordable space access"
"https://www.spacebandits.io/startups/leo-labs", "LEO Labs", "Satellite observation from Earth"
"https://www.spacebandits.io/startups/gilmour-space", "Gilmour Space", "Low-cost hybrid rockets"
"https://www.spacebandits.io/startups/akash-systems", "Akash Systems", "Supplying the next generation of satellites"
"https://www.spacebandits.io/startups/mu-space", "mu Space", "In-space communication"
"https://www.spacebandits.io/startups/axiom-space", "Axiom Space", "Commercial space stations"
"https://www.spacebandits.io/startups/oneweb", "OneWeb", "High speed internet satellite constellation"
"https://www.spacebandits.io/startups/space-angels", "Space Angels", "Space investment network"
"https://www.spacebandits.io/startups/altius-space", "Altius Space", "Developing rendezvous and capture technology"
"https://www.spacebandits.io/startups/skyrora", "Skyrora", "Building launch vehicles"
"https://www.spacebandits.io/startups/because-learning", "Because Learning", "STEM missions to space"
"https://www.spacebandits.io/startups/spacevr", "SpaceVR", "Sharing the overview effect"
"https://www.spacebandits.io/startups/clearspace", "ClearSpace", "Removing defunct satellites"
"https://www.spacebandits.io/startups/space-talos", "Space Talos", "Shielding for satellite electronics"
"https://www.spacebandits.io/startups/pt-scientists", "PT Scientists", "Lunar lander"
"https://www.spacebandits.io/startups/sen", "Sen", "Space TV for humanity"
"https://www.spacebandits.io/startups/zero-2-infinity", "Zero 2 Infinity", "Balloon-borne launchers"
"https://www.spacebandits.io/startups/additive-rocket-corporation", "Additive Rocket Corporation", "3D printing rocket engines"
"https://www.spacebandits.io/startups/orbex", "Orbex", "Private launch services"
"https://www.spacebandits.io/startups/pld-space", "PLD Space", "Commercial launch services"
"https://www.spacebandits.io/startups/hostmi", "HOSTmi", "Space services marketplace"
"https://www.spacebandits.io/startups/relativity-space", "Relativity Space", "3D printed rockets"
"https://www.spacebandits.io/startups/ukam", "UKAM", "Analogue missions"
"https://www.spacebandits.io/startups/kubos", "Kubos", "Space grade software"
"https://www.spacebandits.io/startups/skywatch", "SkyWatch", "Earth observation data"
"https://www.spacebandits.io/startups/capella-space", "Capella Space", "Gathering information from space"
"https://www.spacebandits.io/startups/bagaveev", "Bagaveev", "3D printed rocket engines"
"https://www.spacebandits.io/startups/firefly-aerospace", "Firefly Aerospace", "Small-satellite launchers"
"https://www.spacebandits.io/startups/bryce-space-tech", "Bryce Space & Tech", "Space and technology analytics services"
"https://www.spacebandits.io/startups/star", "STAR", "Smallsat launch services"
"https://www.spacebandits.io/startups/spacex", "SpaceX", "Reusable rockets and spacecraft"
"https://www.spacebandits.io/startups/space-store", "Space Store", "Education and retail"
"https://www.spacebandits.io/startups/rocket-lab", "Rocket Lab", "Smallsat launch services"
"https://www.spacebandits.io/startups/planet", "Planet", "Imaging services"
"https://www.spacebandits.io/startups/oxford-space-systems", "Oxford Space Systems", "Deployable structures"
